variable,ss_value
M_f_6,0.06754575515153524
V_f_6,0.021100736116468004
MC_f_6,0.6930867605390804
PL_f_6,0.6552110657256215
PIV_f_6,0.5214224091828203
VOil_f_6,0.0016732883740359123
VNon_f_6,0.01942744774243209
P_f_7,0.9078669583260986
PM_f_7,0.74986072074807
PH_f_7,0.7489624033496945
Cg_f_7,0.0
Cs_f_7,0.07861184867756578
CHg_f_7,0.0
CFg_f_7,0.0
CHs_f_7,0.09006867771187226
CFs_f_7,0.0075007260002685865
L_f_7,0.09529285733472392
Y_f_7,0.3186480268958793
M_f_7,0.14263523393588023
V_f_7,0.08706253914079227
MC_f_7,0.6740661630147251
PL_f_7,0.6552110657256215
PIV_f_7,0.5214224091828205
VOil_f_7,0.032509152115171844
VNon_f_7,0.054553387025620445
P_f_8,0.773445695995648
PM_f_8,0.7683465839513363
PH_f_8,0.7734456959956745
Cg_f_8,0.0
Cs_f_8,0.05627700568695867
CHg_f_8,0.0
CFg_f_8,0.0
CHs_f_8,0.056277005686956746
CFs_f_8,0.0
L_f_8,0.09119434779717421
Y_f_8,0.24081335749442936
M_f_8,0.11220228430691402
V_f_8,0.04155682869473626
MC_f_8,0.696101126396107
PL_f_8,0.6552110657256215
PIV_f_8,0.5214224091828203
VOil_f_8,0.0001786943633873659
VNon_f_8,0.04137813433134889
P_f_9,0.8285805235117909
PM_f_9,0.765723870266377
PH_f_9,0.8285805235118268
Cg_f_9,0.0
Cs_f_9,0.10107933468130793
CHg_f_9,0.0
CFg_f_9,0.0
CHs_f_9,0.10107933468130355
CFs_f_9,0.0
L_f_9,0.032573778132719305
Y_f_9,0.21318008823868403
M_f_9,0.17535002306199324
V_f_9,0.006445415365798613
MC_f_9,0.745722471160644
PL_f_9,0.6552110657256215
PIV_f_9,0.5214224091828203
VOil_f_9,0.0002893991499243577
VNon_f_9,0.0061560162158742545
P_f_10,0.776457265225117
PM_f_10,0.7603974014690039
PH_f_10,0.7611483185379531
Cg_f_10,0.0
Cs_f_10,0.02135165394942851
CHg_f_10,0.0
CFg_f_10,0.0
CHs_f_10,0.02171305526380643
CFs_f_10,9.932701074276347e-5
L_f_10,0.21358443163847438
Y_f_10,0.383701788917861
M_f_10,0.13362705027095811
V_f_10,0.04084218297114617
MC_f_10,0.6850334866841578
PL_f_10,0.6552110657256215
PIV_f_10,0.5214224091828203
VOil_f_10,0.0025853101820735524
VNon_f_10,0.03825687278907261
P_f_11,0.745219992077928
PM_f_11,0.7491985427757786
PH_f_11,0.7450924067789851
Cg_f_11,0.0
Cs_f_11,0.1331339663190347
CHg_f_11,0.0
CFg_f_11,0.0
CHs_f_11,0.13315481791232264
CFs_f_11,2.7800359912766057e-6
L_f_11,0.14967494772996148
Y_f_11,0.21258364260529655
M_f_11,0.04771847578993705
V_f_11,0.016753628969218008
MC_f_11,0.6705831661010866
PL_f_11,0.6552110657256215
PIV_f_11,0.5214224091828203
VOil_f_11,0.0006550668926964241
VNon_f_11,0.016098562076521584
P_f_12,0.7379174703760106
PM_f_12,0.7489762658700819
PH_f_12,0.7379174703760121
Cg_f_12,0.0
Cs_f_12,0.001242094445855636
CHg_f_12,0.0
CFg_f_12,0.0
CHs_f_12,0.0012420944458556335
CFs_f_12,0.0
L_f_12,0.05352406274496982
Y_f_12,0.07312012135326632
M_f_12,0.01313071591644687
V_f_12,0.007013125350065834
MC_f_12,0.6641257233384109
PL_f_12,0.6552110657256215
PIV_f_12,0.5214224091828203
VOil_f_12,0.00031348670314794273
VNon_f_12,0.0066996386469178925
Ygap,-5.5430172459023e-19
Ngap,-2.2055829198038044e-17
GDPgap,2.1854348171470375e-17
Cgap_g,2.9318917963255533e-17
Cgap_s,1.1475152694734522e-17
Ygap_g,2.5895001449396216e-18
Ygap_s,-3.585608164646332e-18
Y_g,1.5268666291084154
Y_s,1.5835304878310599
Ygap_1,6.894041488593899e-18
Lgap_1,-2.5201549773308647e-17
Ygap_2,2.2533392695801812e-18
Lgap_2,-2.876447349259559e-17
Ygap_3,3.863129218767063e-18
Lgap_3,-8.134380310956559e-18
Ygap_4,1.2397079922778433e-18
Lgap_4,-4.633652053820331e-17
Ygap_5,-4.923044545820429e-18
Lgap_5,-3.225519028395782e-17
Ygap_6,-2.937315081968833e-18
Lgap_6,-2.6077755789616326e-17
Ygap_7,-1.2926338409616105e-18
Lgap_7,-1.94405239721045e-17
Ygap_8,-3.5905668360266365e-18
Lgap_8,-2.937377615068151e-17
Ygap_9,1.0288862354037253e-18
Lgap_9,-2.450173564871392e-17
Ygap_10,-4.319076333448679e-18
Lgap_10,-2.0635431020315633e-17
Ygap_11,-3.5636585546333e-18
Lgap_11,-1.6889176224984536e-17
Ygap_12,-2.4484531147373322e-17
Lgap_12,-3.738442066605212e-17
AUX_ENDO_LAG_20_1,-0.5621189181535413
AUX_ENDO_LAG_21_1,-0.8439700702945289
AUX_ENDO_LAG_142_1,0.0
AUX_ENDO_LAG_143_1,0.0
