variable,shock,period,value
PM_f_7,eps_om,1,0.0
PH_f_7,eps_om,1,-0.0
Cs_f_7,eps_om,1,-0.0
CHs_f_7,eps_om,1,-0.0
CFs_f_7,eps_om,1,-0.0
L_f_7,eps_om,1,-0.0
Y_f_7,eps_om,1,-0.0
M_f_7,eps_om,1,-0.0
V_f_7,eps_om,1,-0.0
MC_f_7,eps_om,1,0.0
PL_f_7,eps_om,1,0.0
P_f_8,eps_om,1,0.0
PM_f_8,eps_om,1,0.0
PH_f_8,eps_om,1,0.0
Cs_f_8,eps_om,1,-0.0
CHs_f_8,eps_om,1,0.0
L_f_8,eps_om,1,0.0
Y_f_8,eps_om,1,-0.0
M_f_8,eps_om,1,-0.0
V_f_8,eps_om,1,-0.0
MC_f_8,eps_om,1,-0.0
PL_f_8,eps_om,1,-0.0
P_f_9,eps_om,1,0.0
PM_f_9,eps_om,1,0.0
PH_f_9,eps_om,1,0.0
Cs_f_9,eps_om,1,0.0
CHs_f_9,eps_om,1,-0.0
L_f_9,eps_om,1,0.0
Y_f_9,eps_om,1,0.0
M_f_9,eps_om,1,0.0
V_f_9,eps_om,1,0.0
MC_f_9,eps_om,1,0.0
PL_f_9,eps_om,1,0.0
P_f_10,eps_om,1,0.0
PM_f_10,eps_om,1,0.0
PH_f_10,eps_om,1,-0.0
Cs_f_10,eps_om,1,0.0
CHs_f_10,eps_om,1,-0.0
CFs_f_10,eps_om,1,0.0
L_f_10,eps_om,1,-0.0
Y_f_10,eps_om,1,-0.0
M_f_10,eps_om,1,-0.0
V_f_10,eps_om,1,0.0
MC_f_10,eps_om,1,0.0
PL_f_10,eps_om,1,0.0
P_f_11,eps_om,1,0.0
PM_f_11,eps_om,1,0.0
PH_f_11,eps_om,1,0.0
Cs_f_11,eps_om,1,-0.0
CHs_f_11,eps_om,1,0.0
CFs_f_11,eps_om,1,-0.0
L_f_11,eps_om,1,0.0
Y_f_11,eps_om,1,0.0
M_f_11,eps_om,1,0.0
V_f_11,eps_om,1,0.0
MC_f_11,eps_om,1,-0.0
PL_f_11,eps_om,1,-0.0
P_f_12,eps_om,1,-0.0
PM_f_12,eps_om,1,0.0
PH_f_12,eps_om,1,-0.0
Cs_f_12,eps_om,1,-0.0
CHs_f_12,eps_om,1,-0.0
L_f_12,eps_om,1,-0.0
Y_f_12,eps_om,1,0.0
M_f_12,eps_om,1,-0.0
V_f_12,eps_om,1,-0.0
MC_f_12,eps_om,1,0.0
PL_f_12,eps_om,1,0.0
Y_g,eps_om,1,0.0
Y_s,eps_om,1,-0.0
AUX_ENDO_LAG_20_1,eps_om,1,0.0
AUX_ENDO_LAG_21_1,eps_om,1,0.0
chi,eps_om,2,0.0
xi,eps_om,2,0.0
w,eps_om,2,0.0
VA,eps_om,2,0.0
C,eps_om,2,0.0
Ctot,eps_om,2,0.0
Ctotg,eps_om,2,0.0
Ctots,eps_om,2,0.0
M,eps_om,2,0.0
C_g,eps_om,2,0.0
C_s,eps_om,2,0.0
p_g,eps_om,2,0.0
p_s,eps_om,2,0.0
N,eps_om,2,0.0
pi,eps_om,2,0.0
pi_g,eps_om,2,0.0
pi_s,eps_om,2,0.0
r,eps_om,2,0.0
om_g,eps_om,2,0.0
om_s,eps_om,2,0.0
Y,eps_om,2,0.0
PV,eps_om,2,0.0
r_star,eps_om,2,0.0
Rworld,eps_om,2,0.0
pi_e,eps_om,2,0.0
Bstar,eps_om,2,0.0
Pipstar,eps_om,2,0.0
Q,eps_om,2,0.0
TB,eps_om,2,0.0
PX,eps_om,2,0.0
X,eps_om,2,0.0
Ystar,eps_om,2,0.0
V,eps_om,2,0.0
PVstar,eps_om,2,0.0
GDP,eps_om,2,0.0
IMP,eps_om,2,0.0
mkupV,eps_om,2,0.0
CFs,eps_om,2,0.0
CFg,eps_om,2,0.0
PH_1,eps_om,2,0.0
PH_2,eps_om,2,0.0
PH_3,eps_om,2,0.0
