period,variable,value
15,PH_2,0.071588772543679
16,PH_2,0.06633462099567888
17,PH_2,0.06141217932469686
18,PH_2,0.0568225965380124
19,PH_2,0.05255915621899302
20,PH_2,0.048609956062476284
21,PH_2,0.04495985884795069
22,PH_2,0.041591895129034544
23,PH_2,0.03848825671325046
24,PH_2,0.03563098720136
25,PH_2,0.033002450125546
26,PH_2,0.030585635279632324
27,PH_2,0.028364348518310586
28,PH_2,0.02632331863464245
29,PH_2,0.024448246098015106
30,PH_2,0.022725811797985423
31,PH_2,0.021143658978284574
32,PH_2,0.019690357857264116
33,PH_2,0.018355359704792407
34,PH_2,0.017128945141931144
35,PH_2,0.016002169966268576
36,PH_2,0.014966810744279595
37,PH_2,0.014015311648201566
38,PH_2,0.013140733470321303
39,PH_2,0.012336705363690718
40,PH_2,0.011597379591517552
1,MC_2,0.29617522547841557
2,MC_2,0.2571086902486141
3,MC_2,0.22699295863402563
4,MC_2,0.20260303217704695
5,MC_2,0.1822500203992898
6,MC_2,0.16484938071621993
7,MC_2,0.149693277514751
8,MC_2,0.13630931087659276
9,MC_2,0.12437295614142904
10,MC_2,0.11365334335916451
11,MC_2,0.10397969025495556
12,MC_2,0.09522050239672224
13,MC_2,0.08727064837366065
14,MC_2,0.0800432823750022
15,MC_2,0.07346474550280584
16,MC_2,0.06747129589531826
17,MC_2,0.06200696232062062
18,MC_2,0.05702209006957406
19,MC_2,0.0524723164641802
20,MC_2,0.04831781642472465
21,MC_2,0.044522721374515024
22,MC_2,0.04105465285276621
23,MC_2,0.03788433517080671
24,MC_2,0.034985265212342326
25,MC_2,0.03233342568472625
26,MC_2,0.029907032999043733
27,MC_2,0.02768631384343113
28,MC_2,0.025653306231506304
29,MC_2,0.02379168184368013
30,MC_2,0.022086587122116384
31,MC_2,0.02052450099897997
32,MC_2,0.019093107429501485
33,MC_2,0.01778118112115012
34,MC_2,0.016578485028091252
35,MC_2,0.01547567833232011
36,MC_2,0.01446423376778652
37,MC_2,0.013536363265640654
38,MC_2,0.012684951009460953
39,MC_2,0.011903493089984172
40,MC_2,0.011186043040037423
1,L_2,0.21749042822967102
2,L_2,0.25804704270130957
3,L_2,0.26682622004547407
4,L_2,0.25863344021491
5,L_2,0.2414087108647993
6,L_2,0.21993321129159593
7,L_2,0.19703273495447102
