param,theta,moment,data,model,diff
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.014855902439121656,0.004079215118088387
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.03097964534257565,-0.015295735703122006
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.01803312875262305,0.008747476540608045
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.01159244596396139,0.003005408491958973
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.015634067408441307,0.009581281307960366
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.03611958318548607,-0.021479651001005483
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.01130415123977491,0.0038694968177638844
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.029843333628157078,-0.012833103340808925
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.02197166536188593,0.007159850012559716
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.014402449994238179,0.004482131718461544
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.015757117267419928,-0.0014777775155263347
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.02315161690325467,-0.010865412531797961
rho_zeta,0.7021028880747568,std(L_9),0.018620746655727674,0.01904564443447319,-0.00042489777874551646
sigma_zeta,0.0005471982146443527,std(L_10),0.01647871562808028,0.022233766113730853,-0.005755050485650573
etastar,1.0,std(L_11),0.009246236232916035,0.020411274029525608,-0.011165037796609573
kappaw,1484.010985372098,std(L_12),0.02783827138656764,0.006869698353735932,0.020968573032831707
lambda_A (TFP scale),0.8766478182444057,std(GDP),0.014812715693097228,0.02143050746356058,-0.0066177917704633524
lambda_om (demand scale),2.3040570660199484,std(pi),0.013510725354496243,0.007733339909503897,0.005777385444992345
,NaN,"corr(GDP,pi)",-0.35902247467411336,-0.3661059811582531,0.0070835064841397455
,NaN,std(TB/GDP),0.03350561477651488,0.020332080854356914,0.01317353392215797
,NaN,std(Q),0.04288875574860771,0.043054347402211805,-0.0001655916536040941
,NaN,autocorr(Q),0.7167583941628564,0.4237012879006101,0.29305710626224624
,NaN,"corr(GDP,Q)",0.028903700394215283,-0.006381162380443679,0.03528486277465896
,NaN,rank corr: output (model vs data),1.0,0.6853146853146853,0.3146853146853147
,NaN,rank corr: prices (model vs data),1.0,0.6573426573426573,0.3426573426573427
,NaN,rank corr: labor  (model vs data),1.0,-0.3776223776223776,1.3776223776223775
,NaN,"corr(Y_1,PH_1)",-0.2515475307484355,-0.5467623961930682,0.2952148654446327
,NaN,"corr(Y_2,PH_2)",-0.16331741328650493,-0.11950959381254413,-0.0438078194739608
,NaN,"corr(Y_3,PH_3)",-0.254050006484288,-0.46684448805066886,0.21279448156638087
,NaN,"corr(Y_4,PH_4)",0.028937486301534178,-0.230024870033201,0.2589623563347352
,NaN,"corr(Y_5,PH_5)",0.07993160013969375,-0.20448445910778723,0.284416059247481
,NaN,"corr(Y_6,PH_6)",-0.3665991207351419,-0.5120577431320941,0.14545862239695218
,NaN,"corr(Y_7,PH_7)",0.1022857616220652,-0.11811492266007723,0.22040068428214243
,NaN,"corr(Y_8,PH_8)",-0.46083741921001237,-0.13390877236557566,-0.3269286468444367
,NaN,"corr(Y_9,PH_9)",-0.3997245410253328,0.2885559889291112,-0.688280529954444
,NaN,"corr(Y_10,PH_10)",-0.536777293059107,-0.16217516521938538,-0.3746021278397217
,NaN,"corr(Y_11,PH_11)",-0.7112661088012642,-0.16411980906698256,-0.5471462997342816
,NaN,"corr(Y_12,PH_12)",0.03903402880364255,-0.23680262281919334,0.2758366516228359
,NaN,"corr(N,GDP)",0.6659530668873902,0.5113339649769684,0.15461910191042183
,NaN,"corr(N,GDP/N)",-0.3272611556634201,0.026404221184753905,-0.353665376848174
,NaN,std(omG) goods expenditure share,0.01718399863771128,0.009174730717042598,0.00800926792066868
,NaN,std(pi_g - pi_s),0.015400636759211923,0.02343099251902798,-0.008030355759816058
,NaN,"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.07562980279898673,0.3001702408452402
,NaN,autocorr(GDP),0.73082110396799,0.400944499427494,0.32987660454049605
,NaN,autocorr(pi),0.09768671531958191,-0.06673953543759498,0.16442625075717687
,NaN,autocorr(Y_1),0.10687011887112151,0.5030646144871405,-0.39619449561601894
,NaN,autocorr(Y_2),0.361685373171192,0.43078720961429234,-0.06910183644310036
,NaN,autocorr(Y_3),0.5938307693600892,0.5161094541339312,0.077721315226158
,NaN,autocorr(Y_4),0.20959379462458555,0.35735607746490217,-0.14776228284031662
,NaN,autocorr(Y_5),0.6305041342029053,0.2882846621345705,0.3422194720683348
,NaN,autocorr(Y_6),0.6595565270498673,0.45523686954933756,0.20431965750052977
,NaN,autocorr(Y_7),0.31064868607674534,0.333905369553699,-0.023256683476953643
,NaN,autocorr(Y_8),0.8943442822082346,0.3167008228441943,0.5776434593640403
,NaN,autocorr(Y_9),0.5934152228969876,0.29647523569826917,0.2969399871987184
,NaN,autocorr(Y_10),0.8222255199489485,0.3014829078042128,0.5207426121447358
,NaN,autocorr(Y_11),0.5319305891775714,0.38016039234902893,0.15177019682854248
,NaN,autocorr(Y_12),0.7344837364257952,0.3818863909780406,0.3525973454477546
,NaN,"rbar: avg pairwise corr(Y_i,Y_j)",0.12379009045482216,0.4059712245156752,-0.28218113406085304
