c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
-1.1856735213e-314,0.0,0.0,0.0,7.603698464082705e-5,0.0,0.0,0.0039566610556543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.4292313473e-314,-0.0,-0.0,-0.0,0.0009763429888942709,-0.0,-0.0,0.005335236530454149,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.4196839077e-314,0.0,0.0,0.0,-0.00017823617728066657,0.0,0.0,0.0064596785479492155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.3622505594e-314,-0.0,-0.0,-0.0,4.9608940952845595e-6,-0.0,-0.0,0.0021153948947924377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.523069911e-314,0.0,0.0,0.0,-7.763216838934097e-5,0.0,0.0,0.0052548872318458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.6722741025e-314,-0.0,-0.0,-0.0,-0.00013090648545944497,-0.0,-0.0,0.0033705673103613313,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.7113525746e-314,-0.0,-0.0,-0.0,-0.0001468175826120398,-0.0,-0.0,0.004952746856527283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.638433326e-315,0.0,0.0,0.0,4.1547762727889406e-5,0.0,0.0,-0.00169037019623894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6665347e-316,0.0,0.0,0.0,2.990057904788333e-5,0.0,0.0,-0.0007773050944579527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.24749789e-315,0.0,0.0,0.0,0.00015666995096819846,0.0,0.0,-0.010062285098883164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4014074e-316,0.0,0.0,0.0,1.550740902185169e-5,0.0,0.0,-0.00010099176369221081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.22544641e-315,0.0,0.0,0.0,8.359484943043964e-6,0.0,0.0,-0.0002740983202809354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
