period,variable,value
11,MC_3,0.0036822185179604112
12,MC_3,0.00298892218084061
13,MC_3,0.0024296349304201176
14,MC_3,0.001957741653998278
15,MC_3,0.0015509552506250094
16,MC_3,0.0011971258773544422
17,MC_3,0.000888387365333019
18,MC_3,0.0006188041330827966
19,MC_3,0.0003834518034123844
20,MC_3,0.00017806413327706971
21,MC_3,-1.10816981543165e-6
22,MC_3,-0.000157365722972485
23,MC_3,-0.0002936067581853441
24,MC_3,-0.0004123678808564543
25,MC_3,-0.0005158632156844243
26,MC_3,-0.0006060219250342586
27,MC_3,-0.0006845232779941657
28,MC_3,-0.0007528286156936138
29,MC_3,-0.0008122099139801211
30,MC_3,-0.0008637749419188768
31,MC_3,-0.0009084892059748439
32,MC_3,-0.0009471949703318386
33,MC_3,-0.0009806276815287251
34,MC_3,-0.001009430124933833
35,MC_3,-0.001034164619092784
36,MC_3,-0.0010553235230008262
37,MC_3,-0.0010733382976224858
38,MC_3,-0.001088587330222314
39,MC_3,-0.0011014027001003993
40,MC_3,-0.0011120760378504353
1,L_3,1.2449536804159314
2,L_3,0.4911509917002589
3,L_3,0.18143103520787549
4,L_3,0.06016399682421755
5,L_3,0.016837092124812967
6,L_3,0.004372239611978114
7,L_3,0.0031846130428044455
8,L_3,0.005440116032673793
9,L_3,0.008218957018027145
10,L_3,0.010584888296346162
11,L_3,0.012353624903837433
12,L_3,0.013591723261041636
13,L_3,0.0144237637082152
14,L_3,0.014965892470840476
15,L_3,0.015308622636872046
16,L_3,0.015517086751885945
17,L_3,0.015636197212526366
18,L_3,0.015696164969384384
19,L_3,0.015717012373104054
20,L_3,0.015711894828383394
21,L_3,0.015689417882949277
22,L_3,0.01565520445544698
23,L_3,0.01561293503719108
24,L_3,0.0155650298822945
25,L_3,0.015513092976653004
26,L_3,0.015458199554115431
27,L_3,0.015401081726733053
28,L_3,0.015342248129713451
29,L_3,0.015282060985529186
30,L_3,0.01522078575421366
31,L_3,0.015158623160295447
32,L_3,0.01509572989999699
33,L_3,0.01503223208049305
34,L_3,0.014968233992708427
35,L_3,0.014903823886678994
36,L_3,0.014839077819668743
37,L_3,0.014774062262948424
38,L_3,0.014708835906666886
39,L_3,0.014643450944237236
40,L_3,0.014577954016415267
1,Y_4,0.36999353196395907
2,Y_4,0.11954368576487508
3,Y_4,0.03002714052057788
4,Y_4,0.003236234073757307
5,Y_4,-0.0011681402942305462
6,Y_4,0.001023731722149175
7,Y_4,0.004136135266416336
8,Y_4,0.006479743579921257
9,Y_4,0.007814696384194447
10,Y_4,0.008343110277835604
11,Y_4,0.008337770552498323
12,Y_4,0.008025445059710336
13,Y_4,0.0075653651690461505
14,Y_4,0.0070585654798774955
15,Y_4,0.0065637138093091055
16,Y_4,0.006111288636304436
17,Y_4,0.005714190242338701
18,Y_4,0.0053750117536440776
19,Y_4,0.0050907472950515766
20,Y_4,0.0048557057483188
21,Y_4,0.004663234603193212
22,Y_4,0.0045066847885775075
23,Y_4,0.004379907149739596
24,Y_4,0.00427746962442673
25,Y_4,0.004194714680607214
26,Y_4,0.004127730749480763
27,Y_4,0.004073281933935723
28,Y_4,0.004028721736477749
29,Y_4,0.003991905111567969
30,Y_4,0.003961106235072776
31,Y_4,0.003934945312589404
32,Y_4,0.003912325433326157
33,Y_4,0.003892379227931518
34,Y_4,0.003874424475253452
35,Y_4,0.0038579275570838636
36,Y_4,0.0038424736182631715
37,Y_4,0.003827742354103258
38,Y_4,0.003813488460421849
39,Y_4,0.0037995259108727906
40,Y_4,0.0037857153540107233
