moment,data,model,diff,W_diag,wdiff2
std(L_4),0.017010230287348153,0.022697838861031706,-0.005687608573683552,0.0,0.0
std(L_5),0.029131515374445645,0.022520246738971593,0.006611268635474052,0.0,0.0
std(L_6),0.018884581712699723,0.014002207542331531,0.004882374170368192,0.0,0.0
std(L_7),0.014279339751893593,0.014865793884280125,-0.0005864541323865324,0.0,0.0
std(L_8),0.012286204371456708,0.02080182460743485,-0.008515620235978141,0.0,0.0
std(L_9),0.018620746655727674,0.020996034991315894,-0.00237528833558822,0.0,0.0
std(L_10),0.01647871562808028,0.020811770961093056,-0.004333055333012776,0.0,0.0
std(L_11),0.009246236232916035,0.017184448925161598,-0.007938212692245563,0.0,0.0
std(L_12),0.02783827138656764,0.005778778661276566,0.022059492725291074,0.0,0.0
std(GDP),0.0148127156930972,0.01856092114471064,-0.0037482054516134403,4557.541431118211,0.06402910058755991
std(pi),0.0135107253544962,0.007661498648641325,0.0058492267058548745,5478.260357423395,0.18743020356991283
"corr(GDP,pi)",-0.3590224746741133,-0.38762728008181485,0.02860480540770155,3.0,0.0024547046772374157
std(TB/GDP),0.0335056147765148,0.020146881460300775,0.013358733316214025,890.7684328069079,0.15896275393156542
std(Q),0.0428887557486077,0.036735569576327724,0.006153186172279973,543.642130661815,0.02058321529693431
autocorr(Q),0.7167583941628564,0.4018270283154001,0.31493136584745623,2.0,0.19836353038908866
"corr(GDP,Q)",0.0289037003942152,-0.11462176779411502,0.14352546818833023,1.0,0.020599560018679394
rank corr: output (model vs data),1.0,0.5804195804195804,0.4195804195804196,0.0,0.0
rank corr: prices (model vs data),1.0,0.6433566433566433,0.35664335664335667,0.0,0.0
rank corr: labor  (model vs data),1.0,-0.13986013986013987,1.1398601398601398,0.0,0.0
"corr(Y_1,PH_1)",-0.2515475307484355,-0.4744912724979344,0.22294374174949888,3.0,0.14911173595580177
"corr(Y_2,PH_2)",-0.16331741328650493,-0.08505466285906811,-0.07826275042743681,3.0,0.018375174313401785
"corr(Y_3,PH_3)",-0.254050006484288,-0.423546867808722,0.16949686132443403,3.0,0.08618755799650327
