period,variable,value
17,PH_7,-0.018961549568501344
18,PH_7,-0.01791491271508853
19,PH_7,-0.01711126118306028
20,PH_7,-0.016499301607733902
21,PH_7,-0.016037932238831598
22,PH_7,-0.015694258515556184
23,PH_7,-0.015441992102803725
24,PH_7,-0.015260161532456044
25,PH_7,-0.01513207416466112
26,PH_7,-0.01504448016315687
27,PH_7,-0.014986898692893234
28,PH_7,-0.014951074436909592
29,PH_7,-0.014930538920823353
30,PH_7,-0.014920256249563463
31,PH_7,-0.014916336933312506
32,PH_7,-0.014915806714955388
33,PH_7,-0.014916419882811977
34,PH_7,-0.014916508599931676
35,PH_7,-0.01491486141563615
36,PH_7,-0.01491062543337762
37,PH_7,-0.01490322765941435
38,PH_7,-0.014892311902499327
39,PH_7,-0.014877688277387618
40,PH_7,-0.01485929291720356
1,MC_7,0.16851231270732364
2,MC_7,-0.043370878011745016
3,MC_7,-0.09548464394232499
4,MC_7,-0.09166718818024042
5,MC_7,-0.07295452558104658
6,MC_7,-0.05401272145325508
7,MC_7,-0.03904696061931906
8,MC_7,-0.028435846070957827
9,MC_7,-0.02139137252339887
10,MC_7,-0.016952092741836042
11,MC_7,-0.014301533934621963
12,MC_7,-0.012830099100527967
13,MC_7,-0.01211123752121151
14,MC_7,-0.01185784912337702
15,MC_7,-0.011881747665910707
16,MC_7,-0.012062109579595097
17,MC_7,-0.012322814275041422
18,MC_7,-0.012616874797189141
19,MC_7,-0.012916026874330274
20,MC_7,-0.013203891624537348
21,MC_7,-0.013471542537211332
22,MC_7,-0.013714659677306795
23,MC_7,-0.013931718217854976
24,MC_7,-0.014122844675805983
25,MC_7,-0.014289101029494062
26,MC_7,-0.01443204134212328
27,MC_7,-0.014553440942838577
28,MC_7,-0.014655134232985072
29,MC_7,-0.014738920417833307
30,MC_7,-0.01480651136743361
31,MC_7,-0.014859505327648705
32,MC_7,-0.014899376256757958
33,MC_7,-0.014927472400637787
34,MC_7,-0.014945020143435794
35,MC_7,-0.014953130695948783
36,MC_7,-0.014952808139765987
37,MC_7,-0.014944957941352345
38,MC_7,-0.014930395419835452
39,MC_7,-0.014909853879711762
40,MC_7,-0.01488399225830523
1,L_7,0.6458620458587077
2,L_7,0.2239256982792389
3,L_7,0.07142197825515262
4,L_7,0.02453698458107076
5,L_7,0.015759288251857247
6,L_7,0.018444466894420294
7,L_7,0.02290339056823882
8,L_7,0.026190776551278758
9,L_7,0.027845966139256648
10,L_7,0.028184296231316044
11,L_7,0.027657978693100136
12,L_7,0.0266497405472257
13,L_7,0.025430862458533703
14,L_7,0.024174119324781883
15,L_7,0.022979405146660567
16,L_7,0.021897490710282394
17,L_7,0.020948178210844822
18,L_7,0.02013295262183796
19,L_7,0.019443301889805007
20,L_7,0.018865945193124536
21,L_7,0.018385974702124688
22,L_7,0.01798864340374436
23,L_7,0.017660302524533253
